epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,736.881,0.78645,1.07446,0.0138,0.67946,0.63577,0.6798,0.46347,1.08115,1.2677,0.02698,0.0005941,0.0005941,0.0005941
43,753.534,0.78248,1.07449,0.01375,0.74711,0.6289,0.69472,0.48235,1.08024,1.23259,0.02673,0.0005842,0.0005842,0.0005842
44,769.939,0.78198,1.06292,0.01364,0.76762,0.60212,0.69312,0.48047,1.06176,1.31654,0.02635,0.0005743,0.0005743,0.0005743
45,786.945,0.75574,1.01255,0.01305,0.72307,0.6195,0.6841,0.47994,1.04877,1.29215,0.02539,0.0005644,0.0005644,0.0005644
46,804.216,0.77176,1.03154,0.0136,0.68557,0.62516,0.65301,0.45686,1.05109,1.30177,0.02555,0.0005545,0.0005545,0.0005545
47,821.657,0.77128,1.02632,0.0134,0.70249,0.57817,0.63331,0.43501,1.09967,1.30379,0.0275,0.0005446,0.0005446,0.0005446
48,838.502,0.76125,1.01824,0.01298,0.73692,0.66101,0.69411,0.47789,1.06997,1.28183,0.02634,0.0005347,0.0005347,0.0005347
49,855.305,0.76309,1.03211,0.01337,0.70606,0.6393,0.6672,0.46524,1.04553,1.27094,0.0254,0.0005248,0.0005248,0.0005248
50,872.268,0.76942,1.0052,0.01337,0.76263,0.62543,0.68596,0.48319,1.06173,1.26361,0.02582,0.0005149,0.0005149,0.0005149
51,888.767,0.75459,0.98814,0.01316,0.74028,0.58996,0.67268,0.46042,1.05546,1.25659,0.02551,0.000505,0.000505,0.000505
52,905.134,0.74406,0.97337,0.01278,0.73898,0.64093,0.68991,0.47288,1.0804,1.25995,0.02654,0.0004951,0.0004951,0.0004951
53,921.497,0.73579,0.97629,0.01289,0.79051,0.59914,0.67696,0.4648,1.05954,1.25347,0.02563,0.0004852,0.0004852,0.0004852
54,938.147,0.75982,0.9678,0.01283,0.64997,0.63257,0.6788,0.46984,1.06123,1.22272,0.02578,0.0004753,0.0004753,0.0004753
55,955.843,0.73271,0.937,0.01251,0.74699,0.59546,0.68177,0.4732,1.05367,1.21614,0.0258,0.0004654,0.0004654,0.0004654
56,972.476,0.71981,0.95076,0.01254,0.70464,0.62931,0.67977,0.4772,1.0484,1.22549,0.02545,0.0004555,0.0004555,0.0004555
57,989.907,0.73289,0.92999,0.01277,0.6988,0.64511,0.69378,0.48527,1.03787,1.21424,0.02496,0.0004456,0.0004456,0.0004456
58,1007.21,0.73201,0.94031,0.01293,0.63627,0.64506,0.67118,0.46161,1.08683,1.24885,0.02654,0.0004357,0.0004357,0.0004357
59,1023.71,0.72474,0.93774,0.01211,0.86251,0.61009,0.71111,0.4939,1.01483,1.21852,0.02398,0.0004258,0.0004258,0.0004258
60,1040.71,0.73045,0.90796,0.01264,0.70082,0.63903,0.66773,0.4622,1.03676,1.2447,0.02525,0.0004159,0.0004159,0.0004159
61,1057.62,0.69613,0.89841,0.01203,0.76383,0.59505,0.68993,0.48343,1.02207,1.23942,0.02431,0.000406,0.000406,0.000406
62,1074.14,0.70862,0.87595,0.01219,0.7005,0.63043,0.67447,0.46842,1.04281,1.27992,0.02541,0.0003961,0.0003961,0.0003961
63,1090.49,0.70428,0.8935,0.01221,0.75594,0.63503,0.70304,0.4916,1.04305,1.25625,0.02524,0.0003862,0.0003862,0.0003862
64,1107.55,0.6992,0.85558,0.01193,0.73815,0.66293,0.71066,0.48703,1.04851,1.23648,0.02533,0.0003763,0.0003763,0.0003763
65,1124.33,0.69662,0.86636,0.01202,0.7656,0.59169,0.6703,0.46497,1.02226,1.25215,0.02445,0.0003664,0.0003664,0.0003664
66,1141.01,0.70525,0.87675,0.01176,0.74596,0.66966,0.70361,0.48779,1.0447,1.24008,0.02551,0.0003565,0.0003565,0.0003565
67,1158.37,0.6901,0.86154,0.01179,0.82187,0.63379,0.72256,0.50854,1.04846,1.23296,0.02573,0.0003466,0.0003466,0.0003466
68,1175.8,0.69471,0.86238,0.01201,0.71924,0.68235,0.71079,0.49599,1.02841,1.23719,0.02481,0.0003367,0.0003367,0.0003367
69,1192.18,0.69339,0.85529,0.01154,0.75649,0.62807,0.70826,0.49221,1.01589,1.26441,0.02429,0.0003268,0.0003268,0.0003268
70,1208.21,0.67773,0.84808,0.01148,0.77762,0.66282,0.71021,0.49437,1.01874,1.1964,0.02412,0.0003169,0.0003169,0.0003169
71,1224.72,0.67086,0.82042,0.0113,0.75701,0.70382,0.73226,0.52044,1.0143,1.2171,0.02388,0.000307,0.000307,0.000307
72,1241.16,0.6746,0.82595,0.01133,0.77956,0.66137,0.7253,0.51268,1.00605,1.21344,0.02376,0.0002971,0.0002971,0.0002971
73,1257.61,0.68222,0.83935,0.01131,0.78489,0.66691,0.7335,0.51763,1.0118,1.19786,0.02406,0.0002872,0.0002872,0.0002872
74,1274.11,0.66782,0.80461,0.01112,0.74688,0.65356,0.71984,0.50438,1.03049,1.22024,0.02498,0.0002773,0.0002773,0.0002773
75,1290.69,0.68491,0.83619,0.01142,0.76536,0.6652,0.72371,0.5108,1.00964,1.22342,0.02401,0.0002674,0.0002674,0.0002674
76,1307.43,0.67579,0.80757,0.01139,0.75993,0.60228,0.68818,0.48243,0.9954,1.22374,0.02326,0.0002575,0.0002575,0.0002575
77,1323.9,0.65997,0.79563,0.01129,0.83763,0.60582,0.7148,0.50102,1.00995,1.22468,0.02396,0.0002476,0.0002476,0.0002476
