epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,742.282,0.82451,1.14753,0.01458,0.6964,0.55618,0.627,0.42248,1.10862,1.36449,0.02783,0.00079705,0.00079705,0.00079705
43,759.488,0.8283,1.12003,0.01476,0.68032,0.58889,0.64589,0.45018,1.13213,1.36016,0.02864,0.0007921,0.0007921,0.0007921
44,776.932,0.82912,1.14049,0.01454,0.69264,0.62182,0.65043,0.44327,1.11038,1.29476,0.02764,0.00078715,0.00078715,0.00078715
45,794.347,0.79133,1.06078,0.01382,0.67473,0.61025,0.65864,0.44598,1.11046,1.33214,0.02819,0.0007822,0.0007822,0.0007822
46,810.901,0.8124,1.08596,0.0145,0.79856,0.59444,0.68074,0.45795,1.13019,1.3294,0.02882,0.00077725,0.00077725,0.00077725
47,828.058,0.79918,1.07146,0.01409,0.6847,0.6657,0.68368,0.46149,1.11636,1.30109,0.02785,0.0007723,0.0007723,0.0007723
48,845.721,0.80731,1.09484,0.01407,0.62584,0.64137,0.63325,0.42143,1.13114,1.44488,0.02889,0.00076735,0.00076735,0.00076735
49,862.817,0.81402,1.11082,0.01445,0.64346,0.61489,0.63174,0.42813,1.0724,1.31619,0.02617,0.0007624,0.0007624,0.0007624
50,879.953,0.79999,1.06967,0.01395,0.72794,0.61142,0.67956,0.46108,1.09901,1.3325,0.02731,0.00075745,0.00075745,0.00075745
51,897.025,0.80493,1.06273,0.01425,0.62518,0.60608,0.62737,0.42507,1.09987,1.29296,0.02719,0.0007525,0.0007525,0.0007525
52,913.93,0.78976,1.04624,0.01376,0.74005,0.57881,0.66463,0.45138,1.07304,1.24675,0.02637,0.00074755,0.00074755,0.00074755
53,931.21,0.78429,1.03398,0.01406,0.77231,0.64766,0.70857,0.48688,1.10272,1.28011,0.02734,0.0007426,0.0007426,0.0007426
54,948.63,0.8053,1.03444,0.01382,0.74058,0.60017,0.67941,0.44404,1.10878,1.28035,0.02825,0.00073765,0.00073765,0.00073765
55,966.093,0.77979,1.01424,0.01356,0.76116,0.59869,0.68576,0.47232,1.09534,1.29259,0.02768,0.0007327,0.0007327,0.0007327
56,983.213,0.77261,1.02124,0.01371,0.77871,0.61319,0.68888,0.47383,1.0992,1.2876,0.02755,0.00072775,0.00072775,0.00072775
57,1001.2,0.77467,1.01293,0.01372,0.75975,0.57645,0.6666,0.45058,1.14494,1.34349,0.02929,0.0007228,0.0007228,0.0007228
58,1018.51,0.79587,1.02539,0.01425,0.6751,0.6696,0.67881,0.45348,1.10096,1.29286,0.02759,0.00071785,0.00071785,0.00071785
59,1035.52,0.78913,0.99627,0.01351,0.69393,0.64682,0.69571,0.48335,1.05627,1.26101,0.02613,0.0007129,0.0007129,0.0007129
60,1053.4,0.77604,0.98981,0.01366,0.73858,0.65297,0.70705,0.49033,1.05245,1.29947,0.02541,0.00070795,0.00070795,0.00070795
61,1070.79,0.75818,0.97967,0.01334,0.76533,0.57185,0.65321,0.44489,1.10603,1.26643,0.02807,0.000703,0.000703,0.000703
62,1088.08,0.76797,0.97581,0.01354,0.71589,0.62572,0.6789,0.46196,1.0987,1.25416,0.0277,0.00069805,0.00069805,0.00069805
63,1105.54,0.76961,0.98519,0.01356,0.7031,0.62006,0.678,0.47115,1.06392,1.25489,0.02606,0.0006931,0.0006931,0.0006931
64,1123.27,0.75862,0.94042,0.01329,0.67808,0.66609,0.67956,0.46666,1.0504,1.285,0.02559,0.00068815,0.00068815,0.00068815
65,1140.49,0.76876,0.9484,0.0135,0.70754,0.63534,0.68602,0.47857,1.06563,1.26273,0.02618,0.0006832,0.0006832,0.0006832
66,1157.54,0.76622,0.96726,0.01316,0.69801,0.6316,0.66441,0.45698,1.07283,1.21487,0.02653,0.00067825,0.00067825,0.00067825
67,1174.12,0.76246,0.96344,0.01324,0.67921,0.63175,0.67008,0.46522,1.08251,1.22869,0.02678,0.0006733,0.0006733,0.0006733
